Sexy,Low,4.6,M,Summer,o-neck,sleevless,empire,null,chiffon,ruffles,animal,1
Casual,Low,0,L,Summer,o-neck,Petal,natural,microfiber,null,ruffles,animal,0
vintage,High,0,L,Automn,o-neck,full,natural,polyster,null,null,print,0
Brief,Average,4.6,L,Spring,o-neck,full,natural,silk,chiffon,embroidary,print,1
cute,Low,4.5,M,Summer,o-neck,butterfly,natural,chiffonfabric,chiffon,bow,dot,0
bohemian,Low,0,M,Summer,v-neck,sleevless,empire,null,null,null,print,0
Casual,Average,0,XL,Summer,o-neck,full,null,cotton,null,null,solid,0
Novelty,Average,0,free,Automn,o-neck,short,natural,polyster,broadcloth,lace,null,0
Flare,Average,0,free,Spring,v-neck,short,empire,cotton,broadcloth,beading,solid,1
bohemian,Low,0,free,Summer,v-neck,sleevless,natural,nylon,chiffon,null,null,1
party,Average,5,free,Summer,o-neck,full,natural,polyster,broadcloth,lace,solid,0
Flare,Average,0,free,Spring,v-neck,short,null,nylon,null,null,animal,0
sexy,Low,4.7,M,Winter,o-neck,threequarter,null,null,chiffon,lace,print,1
vintage,Average,4.8,M,Summer,o-neck,short,empire,cotton,jersey,null,animal,1
Casual,Low,5,M,Summer,boat-neck,short,null,cotton,null,sashes,solid,0
Casual,Low,0,free,Winter,boat-neck,full,null,other,other,lace,null,0
cute,Average,4.7,L,spring,o-neck,short,null,cotton,null,sashes,solid,1
bohemian,Medium,5,free,Automn,o-neck,full,natural,null,null,hollowout,patchwork,1
Brief,Average,0,M,Winter,peterpan-collor,threequarter,natural,cotton,null,null,patchwork,0
Sexy,Average,5,M,Automn,o-neck,sleevless,empire,milksilk,null,null,null,1
Sexy,Average,4.5,L,Automn,o-neck,full,null,cotton,null,beading,solid,0
Casual,Low,4.3,M,Summer,o-neck,sleevless,natural,null,chiffon,null,solid,0
Brief,Low,4,XL,Summer,v-neck,short,natural,cotton,null,pockets,solid,0
Sexy,Average,4.7,S,Summer,v-neck,sleevless,empire,cotton,null,sequined,solid,1
Sexy,Average,0,free,Automn,v-neck,sleevless,natural,polyster,null,lace,patchwork,0
Sexy,Average,0,M,Automn,o-neck,sleevless,empire,cotton,broadcloth,null,print,0
Sexy,Average,4.7,M,Spring,o-neck,sleevless,natural,null,null,null,solid,1
Casual,Low,0,L,Summer,o-neck,sleevless,natural,cotton,jersey,null,print,0
cute,Low,4.3,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,striped,0
cute,Low,4.7,M,Spring,ruffled,short,empire,chiffonfabric,chiffon,bow,dot,1
Casual,Average,4.6,L,Automn,o-neck,sleevless,empire,polyster,chiffon,ruffles,solid,0
Casual,Low,0,M,Spring,o-neck,sleevless,natural,silk,chiffon,applique,solid,1
Casual,Average,4.4,L,Automn,o-neck,sleevless,natural,linen,chiffon,ruffles,animal,0
Brief,Average,4.3,L,Spring,o-neck,sleevless,empire,null,null,bow,solid,1
party,High,4.7,M,Spring,o-neck,threequarter,null,null,null,null,print,0
Casual,Low,4.6,free,Winter,boat-neck,full,natural,cotton,null,null,patchwork,1
vintage,Average,4.6,free,Winter,o-neck,full,natural,null,chiffon,null,print,1
Brief,Average,0,M,Automn,o-neck,short,natural,cotton,null,null,print,0
party,Average,4.6,M,Winter,o-neck,sleevless,natural,cotton,null,lace,solid,1
Casual,Average,4.5,M,Spring,v-neck,short,empire,cotton,null,button,solid,1
Brief,Average,5,free,Spring,v-neck,sleevless,natural,cotton,broadcloth,lace,solid,1
Brief,Low,4.4,L,Automn,o-neck,halfsleeve,natural,rayon,chiffon,sashes,solid,0
